from_name,to_name
画皮Ⅱ,华谊兄弟
听说,传影互动
卡萨布兰卡,CBS
卡萨布兰卡,Fox
色欲世界奸魔者,日本公司
单身男女,寰亚影视
丁香,南京电影制片厂
雨人,联美电影公司等
七年之痒,河南大禹影视
初恋,GAGA
初恋,Communications
我们约会吧,中国电影集团公司
我们约会吧,大盛国际传媒
我们约会吧,华影盛视
绝命派对,山水国际娱乐公司
告白,Toho
告白,International
告白,Company
告白,Inc
昂山素季,欧罗巴影业
超人：钢铁之躯,华纳兄弟影片公司
超人：钢铁之躯,美国
初恋,Strand
初恋,Releasing
正义联盟,华纳兄弟影片公司
侠客行,邵氏兄弟
侠客行,香港
侠客行,有限公司
秘密,东宝
秘密,日本
齐天大性之大闹女儿国,视像馆有限公司
珍珠港,博伟电影公司
大上海,博纳影业集团有限公司
7号房的礼物,N
7号房的礼物,E
7号房的礼物,W
大学,GoodTimes
大学,home
大学,video
罗密欧与朱丽叶,米高梅电影公司
斯巴达300勇士,华纳兄弟公司
铁甲钢拳,华特·迪士尼电影工作室
无敌浩克,环球影业
无耻混蛋,环球影业
海底两万里,Grapevine
海底两万里,Video
爱人,Showbox
名侦探柯南：沉默的15分钟,东宝株式会社
名侦探柯南：沉默的15分钟,日本
青蜂侠,银都机构有限公司
不道德的故事,法国
万能钥匙,United
万能钥匙,International
万能钥匙,Pictures
万能钥匙,UIP
万能钥匙,等
一场风花雪月的事,银润影业
一场风花雪月的事,中影股份
黑色大丽花,Bloodshot
黑色大丽花,Pictures
青蜂侠,Apel
青蜂侠,Productions
木乃伊,环球影业
被偷走的那五年,福建恒业电影发行有限公司
跆拳道,中国电影集团公司北京电影制片厂
跆拳道,电影频道节目中心
老无所依,伟影业
老无所依,阿根廷
真爱至上,环球影业
罗密欧与朱丽叶,相对论传媒公司
倾城之恋,邵氏兄弟有限公司
大武生,中国电影公司
大武生,星空大地
大武生,欢乐电影
分手大师,光线传媒
海阔天空,八一电影制片厂
LOVE,华谊兄弟
罗密欧与朱丽叶,联美电影公司
格列佛游记,WinStar
格列佛游记,Home
格列佛游记,Entertainment
水浒传之英雄好色,金马娱乐有限公司
水浒传之英雄好色,美亚镭射影碟有限公司影碟发行
格列佛游记,Arrow
格列佛游记,Film
格列佛游记,Distributors[英国]
倾城之泪,福建恒业影视
倾城之泪,北京新影联影
倾城之泪,上海凯羿影视
罗密欧与朱丽叶,VF1
罗密欧与朱丽叶,Vidéo
美女的烦恼,Showbox
罗密欧与朱丽叶,相对论传媒公司
倾城之恋,福建恒业影视
倾城之恋,北京新影联影
倾城之恋,上海凯羿影视
功夫熊猫2,派拉蒙影业
白日焰火,江苏幸福蓝海影业
白日焰火,中影北京电影发行分公司
纳尼亚传奇,沃尔特迪斯尼影业
刀锋战士,新线电影公司
袁隆平,潇湘电影集团
袁隆平,北大星光集团
中南海保镖,帝门影业公司
极限特工,哥伦比亚影业公司
极限特工,索尼电影娱乐公司
猩球崛起：黎明之战,二十世纪福斯电影公司
NANA,东宝映画
你是我的命运,CJ
你是我的命运,Entertainment
色欲之死,Albatros
色欲之死,Film
遗落战境,环球影业
拳王,北京东方飞云国际影视有限公司
摩登家庭,美国广播公司
