from_name,to_name
东成西就2011,刘镇伟
有一个地方只有我们知道,徐静蕾
踩碳,蒲泰宇
踩碳,正源
女人,拉奇·马凯
晚秋,金泰勇
幸福,许秦豪
杨贵妃秘史,鲍芝芳
幸福,天然
幸福,傅超武
史密斯夫妇,道格·里曼
侏罗纪世界,科林·特莱沃若
书剑恩仇录,许鞍华
超凡蜘蛛侠2,马克·韦布
another,古泽健
书剑恩仇录,楚原
蝴蝶,文承旭
蝴蝶,Joseph
蝴蝶,W
蝴蝶,Sarno
蝴蝶,杨松浩
心战,陈翊恒
心战,胡学林
爸爸去哪儿,谢涤葵
爸爸去哪儿,林妍
亲爱的,陈可辛
贫民窟的百万富翁,丹尼·博伊尔
贫民窟的百万富翁,Loveleen
贫民窟的百万富翁,Tandan
狼图腾,让·雅克·阿诺
疯狂的石头,宁浩
李元霸,洪仲豪
星际迷航,杰弗里·雅各布·艾布拉姆斯
萧十一郎,楚原
天使,宫坂
天使,Mayumi
天使,Miyasaka
观音山,李玉
少林寺,张彻
少林寺,午马
我们都是坏孩子,张洋
海角七号,魏德圣
林肯,史蒂文·斯皮尔伯格
香水：一个谋杀犯的故事,汤姆·提克威
天下第一,瓦西里·奇金斯基
罗马假日,威廉·惠勒
钟无艳,杜琪峰
钟无艳,韦家辉
青蜂侠,米歇尔·冈瑞
穿普拉达的女王,大卫·弗兰科尔
朝花夕拾,胡珊
红灯区,邓衍成
雪山飞狐,李化
东邪西毒,王家卫
刮痧,郑晓龙
范海辛,斯蒂芬·索莫斯
末代皇帝,贝纳尔多·贝托鲁奇
第九区,尼尔·布洛姆坎普
朝鲜战争,埃里克-布里维格
非常完美,金依萌
普罗米修斯2,雷德利·斯科特
柠檬,章家瑞
鬼,조은경
鬼,홍동명
鬼,여명준
鬼,김조광수
功夫熊猫,马克·奥斯本
功夫熊猫,约翰·斯蒂文森
大丫鬟,何澍培周家文
人工智能,史蒂文·斯皮尔伯格
想爱就爱,萨拉萨瓦蒂·翁索姆佩奇
神奇四侠,蒂姆·斯托瑞
狼牙,李忠志；吴京
钟无艳,陈皮
钟无艳,侯曜
钟无艳,尹海灵
亚特兰蒂斯,Tony
亚特兰蒂斯,Mitchell
血滴子,何梦华
阿修罗,佐藤敬一
狄仁杰之通天帝国,徐克
色情男女,Kwang-jin
色情男女,Shim
杀破狼,叶伟信
了不起的盖茨比,Robert
了不起的盖茨比,Markowitz
月球,邓肯·琼斯
拯救大兵瑞恩,史蒂文·斯皮尔伯格
天使,弗朗索瓦·欧容
阿修罗,蓝乃才
阿修罗,刘仕裕
盗贼同盟,崔东勋
守望者,扎克·施奈德
人肉叉烧包,邱礼涛
王的男人,李俊益
王的盛宴,陆川
女人公敌,管晓杰
剑雨,苏照彬
碧血剑,张彻
属于你的我的初恋,新城毅彦
属于你的我的初恋,Takehiko
属于你的我的初恋,Shinjo
色即是空2,尹太允
骆驼祥子,凌子风
赌神,王晶
幽灵,弗兰克·米勒
绣春刀,路阳
碧血剑,李晨风
纽约,卡比尔·基兰
幽灵,尼克·鲍威尔
幽灵,陈方千
后天,罗兰·艾默里奇
飞虎,陈嘉上
闪灵,斯坦利·库布里克
舞出我人生,安妮·弗莱彻
舞出我人生,Anne
舞出我人生,Fletcher
我的朋友很少,及川拓郎
黑衣人3,巴里·索南菲尔德
奇门遁甲,袁和平
ceo,吴天明
僵尸世界大战,马克·福斯特
杀人游戏,John
杀人游戏,Suits
杀人游戏,Gabriel
杀人游戏,Cowan
前任攻略,田羽生
赤壁,吴宇森
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰
一夜惊喜,金依萌
强奸之恋,John
强奸之恋,Grayson
窃听风云,麦兆辉
窃听风云,庄文强
天使之恋,寒竹百合
黑天鹅,亨利·金
新宿事件,尔冬升
丝绸之路,王星军
洛杉矶之战,乔纳森·理贝斯曼
安娜情欲史,Jessica
安娜情欲史,Nilsson
我的野蛮女友,杨·塞谬尔
喜剧之王,周星驰
喜剧之王,李力持
僵尸先生,刘观伟
聊斋志异,唐煌
阿司匹林,鄢颇
金粉世家,李晨风
四大名捕3,陈嘉上
四大名捕3,秦小珍
全民目击,非行
我的野蛮女友,马伟豪
老人与海,亚历山大·彼德洛夫
了不起的盖茨比,Elliott
了不起的盖茨比,Nugent
穿越时空的少女,细田守
闻香识女人,马丁·布莱斯特
老人与海,裘德·泰勒
风云2,彭顺
风云2,彭发
蓝宇,关锦鹏
阳光姐妹淘,姜炯哲
春光乍泄,王家卫
宝莲灯,叶明
致命弯道,罗伯·施密特
金馆长对金馆长对金馆长,朴成均
熔炉,黄东赫
向日葵,姜石范
熊出没之夺宝熊兵,丁亮
熊出没之夺宝熊兵,刘富源
木乃伊,斯蒂芬·索莫斯
鬼子来了,姜文[4]
林冲,吴永刚
林冲,舒适
黑色大丽花,布莱恩·德·帕尔玛
埃及艳后,塞西尔·B·戴米尔
埃及艳后,Layon
埃及艳后,Gray
蒙娜丽莎,李缨
蒙娜丽莎,Ying
蒙娜丽莎,Li
飞虎神鹰,刘易斯·提革
梦回鹿鼎记,李国立
大侦探福尔摩斯,盖·里奇
X战警：第一战,马修·沃恩
埃及艳后,乔洛·比萨尼
移动迷宫,韦斯·波尔
第一次,韩延
逍遥法外,斯蒂文·斯皮尔伯格
恋爱通告,王力宏
黑衣人,巴里·索南菲尔德
铁血战士,约翰·麦克蒂尔南
铁血战士,斯蒂芬·霍普金斯
泰迪熊,麦德斯·马修森
星巴克,BillTangeman
黄真伊,张允炫
归来,张艺谋
最美的时光,洪伊列
雪花秘扇,王颖
怦然心动,卡伦·乔哈尔
财神客栈,王晶
向日葵,黄朝亮
天使爱美丽,让-皮埃尔·热内
雨果,马丁·斯科塞斯
狼人,乔·约翰斯顿
独立日,罗兰·艾默里奇
搜索,陈凯歌
白发魔女传,张鑫炎
终结者5,艾伦·泰勒
枪王之王,尔冬升
晚秋,李晚熙
国王的演讲,汤姆·霍珀
非常人贩,路易斯·莱特里尔
非常人贩,元奎
白发魔女传,李化
三枪拍案惊奇,张艺谋
名侦探柯南：天空的遇难船,山本泰一郎
出轨的女人,潘源良
东成西就,刘镇伟
林中小屋,邓特希
死亡飞车,保罗·安德森
接吻,万田邦敏
地狱神探,弗朗西斯·劳伦斯
天浴,陈冲
雏菊,维拉·希蒂洛娃
黄真伊,裴昶浩
黄真伊,赵兢夏
东京,奉俊昊
东京,莱奥·卡拉克斯
东京,米歇尔·冈瑞
九首歌,迈克尔·温特伯顿
虞美人,陈铿然
飞越疯人院,米洛斯·福曼
被解救的姜戈,昆汀·塔伦蒂诺
青蜂侠,William
青蜂侠,Beaudine
天涯赤子心,佛朗哥·泽菲雷里
黑眼圈,蔡明亮
画皮Ⅱ,乌尔善
听说,郑芬芬
佛跳墙,李翰祥
黑眼圈,保罗·索特
卡萨布兰卡,迈克尔·柯蒂斯
七年之痒,杜琪峰
色欲世界奸魔者,虎尾聡
济公,杜琪峰
济公,程小东
朋友,郭景泽
单身男女,杜琪峰
公主日记,加里·马歇尔
丁香,冯新民
雨人,巴瑞·莱文森
七年之痒,岳永安
画皮之真爱无悔,林峰
画皮之真爱无悔,梁辛全
初恋,塙幸成
朋友,郭暻泽
朋友,张彻
香港奇案之强奸,刘伟强
我们约会吧,周楠
唐伯虎点秋香,周星驰
唐伯虎点秋香,李力持
符号,松本人志
绝命派对,柯孟融
符号,陈曦
符号,卓振东
初恋,李明世
告白,中岛哲也
昂山素季,吕克·贝松
海底两万里,罗德·哈瑞德
超人：钢铁之躯,扎克·施奈德
初恋,马提欧·加洛尼
海底两万里,斯考特·赫明
正义联盟,扎克·施奈德
秘密,泷田洋二郎
齐天大性之大闹女儿国,马小玲
失眠,克里斯托弗·诺兰
珍珠港,迈克尔·贝
梁山伯与祝英台,李翰祥
麻将,杨德昌
大上海,王晶
7号房的礼物,李焕庆
梁山伯与祝英台,桑弧
梁山伯与祝英台,黄沙
大学,巴斯特基顿
游戏,尹仁浩
